"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Dodge,"29,875","30,759","31,970",133,3.0,3.9,52
Dooly,"30,034","30,392","34,331",114,1.2,13.0,2
Dougherty,"34,459","35,494","37,050",74,3.0,4.4,38
Douglas,"34,007","35,290","36,497",82,3.8,3.4,64
Early,"36,286","36,880","40,465",38,1.6,9.7,5
Echols,"26,955","27,775","28,211",152,3.0,1.6,135
Effingham,"40,182","41,606","42,271",34,3.5,1.6,134
Elbert,"34,530","35,372","35,550",94,2.4,0.5,148
Emanuel,"32,489","32,574","33,921",122,0.3,4.1,46
Evans,"33,737","34,443","35,109",103,2.1,1.9,128
Fannin,"34,838","36,454","37,385",70,4.6,2.6,107
Fayette,"61,114","65,526","67,467",3,7.2,3.0,82
Floyd,"37,072","38,382","39,314",46,3.5,2.4,112
Forsyth,"60,567","62,230","63,864",4,2.7,2.6,105
Franklin,"34,999","35,871","34,017",121,2.5,-5.2,159
Fulton,"81,809","87,311","88,832",1,6.7,1.7,132
Gilmer,"33,997","35,511","35,576",92,4.5,0.2,150
Glascock,"32,619","33,152","34,786",108,1.6,4.9,30
Glynn,"44,342","47,211","48,170",17,6.5,2.0,124
Gordon,"35,793","35,191","35,557",93,-1.7,1.0,144
Grady,"33,740","34,883","36,527",81,3.4,4.7,32
Greene,"54,873","59,604","58,708",6,8.6,-1.5,157
Gwinnett,"39,902","41,582","42,902",30,4.2,3.2,72
Habersham,"33,013","34,122","34,831",107,3.4,2.1,121
Hall,"42,239","44,442","45,576",23,5.2,2.6,108
Hancock,"28,503","30,377","31,297",140,6.6,3.0,79
Haralson,"35,404","36,840","37,582",66,4.1,2.0,125
Harris,"45,876","48,015","49,471",12,4.7,3.0,78
Hart,"36,294","38,091","37,701",61,5.0,-1.0,154
Heard,"30,467","31,587","31,965",134,3.7,1.2,142
Henry,"37,755","38,930","40,182",39,3.1,3.2,70
Houston,"41,189","42,655","44,059",26,3.6,3.3,68
Irwin,"32,784","33,946","36,036",88,3.5,6.2,19
Jackson,"40,859","42,762","43,508",28,4.7,1.7,131
Jasper,"38,812","37,572","38,568",53,-3.2,2.7,103
Jeff Davis,"28,661","30,290","32,069",132,5.7,5.9,23
Jefferson,"33,475","33,688","36,033",89,0.6,7.0,15
Jenkins,"29,079","29,540","31,635",135,1.6,7.1,14
Johnson,"24,598","25,656","26,341",155,4.3,2.7,101
Jones,"36,187","37,110","38,526",55,2.6,3.8,54
Lamar,"32,262","33,323","34,375",113,3.3,3.2,73
Lanier,"26,311","27,786","28,991",149,5.6,4.3,39
Laurens,"36,287","38,173","38,995",50,5.2,2.2,116
Lee,"45,663","47,272","49,274",13,3.5,4.2,42
Liberty,"34,212","36,661","37,424",69,7.2,2.1,120
Lincoln,"36,192","37,006","38,527",54,2.2,4.1,48
Long,"26,398","27,102","27,232",154,2.7,0.5,149
Lowndes,"36,015","37,622","38,706",52,4.5,2.9,89
Lumpkin,"35,376","37,666","38,450",58,6.5,2.1,119
McDuffie,"35,727","36,981","38,456",57,3.5,4.0,50
McIntosh,"28,421","30,089","30,981",142,5.9,3.0,81
Macon,"31,536","30,910","32,343",131,-2.0,4.6,35
Madison,"35,694","36,843","36,879",77,3.2,0.1,151
Marion,"27,723","29,124","29,849",145,5.1,2.5,110
Meriwether,"33,339","35,019","36,050",87,5.0,2.9,83
Miller,"40,926","44,794","48,011",18,9.5,7.2,13
Mitchell,"34,920","35,496","37,608",64,1.6,5.9,21
Monroe,"43,027","44,968","46,563",20,4.5,3.5,63
Montgomery,"29,408","29,539","31,037",141,0.4,5.1,29
Morgan,"48,581","50,945","51,677",10,4.9,1.4,137
Murray,"29,286","30,383","30,964",143,3.7,1.9,129
Muscogee,"42,492","44,183","45,352",24,4.0,2.6,104
Newton,"32,522","33,704","34,696",111,3.6,2.9,84
Oconee,"63,844","66,430","67,845",2,4.1,2.1,117
Oglethorpe,"36,222","37,070","36,698",79,2.3,-1.0,153
Paulding,"36,348","37,743","38,978",51,3.8,3.3,69
Peach,"37,607","37,583","39,336",43,-0.1,4.7,33
Pickens,"46,246","47,572","48,493",14,2.9,1.9,127
Pierce,"35,379","36,060","37,486",67,1.9,4.0,51
Pike,"38,650","40,363","41,401",35,4.4,2.6,106
Polk,"31,568","32,810","34,055",120,3.9,3.8,57
Pulaski,"29,793","30,672","31,603",136,3.0,3.0,77
Putnam,"40,723","43,685","44,643",25,7.3,2.2,115
Quitman,"28,395","30,444","31,466",139,7.2,3.4,66
Rabun,"40,013","40,393","41,058",37,0.9,1.6,133
Randolph,"31,484","32,624","35,186",100,3.6,7.9,7
Richmond,"36,935","38,277","39,370",42,3.6,2.9,92
Rockdale,"33,965","34,979","36,138",86,3.0,3.3,67
Schley,"30,195","31,837","33,044",126,5.4,3.8,58
Screven,"32,745","33,915","35,346",97,3.6,4.2,43
Seminole,"40,756","41,975","47,527",19,3.0,13.2,1
Spalding,"33,617","34,786","35,740",90,3.5,2.7,97
Stephens,"38,455","38,752","39,335",44,0.8,1.5,136
Stewart,"21,267","22,058","23,081",157,3.7,4.6,34
Sumter,"35,463","35,842","37,936",60,1.1,5.8,25
Talbot,"34,320","33,904","35,705",91,-1.2,5.3,26
Taliaferro,"33,758","34,112","37,088",73,1.0,8.7,6
Tattnall,"29,017","29,509","29,106",148,1.7,-1.4,156
Taylor,"29,616","30,904","32,801",128,4.3,6.1,20
Telfair,"20,623","20,938","21,535",158,1.5,2.9,93
Terrell,"38,634","40,535","43,654",27,4.9,7.7,9
Thomas,"42,907","45,023","46,223",22,4.9,2.7,102
Tift,"36,347","37,906","39,317",45,4.3,3.7,61
Toombs,"34,477","35,781","37,143",72,3.8,3.8,55
Towns,"36,248","38,067","39,181",47,5.0,2.9,86
Treutlen,"29,166","29,271","29,682",146,0.4,1.4,139
Troup,"35,069","36,237","37,690",62,3.3,4.0,49
Turner,"34,125","34,472","36,836",78,1.0,6.9,16
Twiggs,"37,404","40,771","43,163",29,9.0,5.9,24
Union,"35,474","36,758","37,588",65,3.6,2.3,114
Upson,"34,132","35,631","36,653",80,4.4,2.9,91
Walker,"32,064","33,283","34,078",118,3.8,2.4,113
Walton,"39,169","41,153","42,406",33,5.1,3.0,76
Ware,"33,203","33,985","34,915",105,2.4,2.7,99
Warren,"33,351","34,741","36,427",83,4.2,4.9,31
Washington,"34,580","35,375","36,321",85,2.3,2.7,100
Wayne,"30,223","31,834","32,633",130,5.3,2.5,109
Webster,"31,852","32,198","34,700",110,1.1,7.8,8
Wheeler,"18,854","18,916","19,472",159,0.3,2.9,85
White,"33,767","34,896","35,238",99,3.3,1.0,145
Whitfield,"36,988","39,116","39,927",40,5.8,2.1,122
Wilcox,"27,510","27,455","29,334",147,-0.2,6.8,18
Wilkes,"41,697","42,640","42,644",32,2.3,0.0,152
Wilkinson,"34,341","35,544","37,011",75,3.5,4.1,47
Worth,"33,384","34,602","36,974",76,3.6,6.9,17
,,,,,,,
Hawaii,"53,433","55,214","57,015",--,3.3,3.3,--
Hawaii,"40,976","42,228","43,578",4,3.1,3.2,3
Honolulu,"57,352","59,324","61,174",1,3.4,3.1,4
Kauai,"47,373","49,680","51,545",2,4.9,3.8,2
Maui + Kalawao,"47,783","49,157","51,348",3,2.9,4.5,1
,,,,,,,
Idaho,"42,268","44,554","45,968",--,5.4,3.2,--
Ada,"50,894","53,663","54,896",3,5.4,2.3,37
Adams,"36,031","37,686","39,038",33,4.6,3.6,23
Bannock,"37,152","38,232","39,246",32,2.9,2.7,34
Bear Lake,"38,289","41,146","43,103",16,7.5,4.8,18
Benewah,"36,152","38,209","39,695",28,5.7,3.9,21
Bingham,"33,918","36,096","37,909",36,6.4,5.0,15
Blaine,"107,631","116,962","117,097",1,8.7,0.1,43
Boise,"41,821","41,898","43,320",14,0.2,3.4,27
Bonner,"39,615","41,551","42,277",19,4.9,1.7,39
Bonneville,"46,599","48,989","50,114",5,5.1,2.3,38
Boundary,"34,636","36,880","38,142",34,6.5,3.4,25
Butte,"39,128","42,276","44,828",11,8.0,6.0,11
Camas,"41,264","44,173","47,417",8,7.0,7.3,6
Canyon,"31,486","33,314","34,446",43,5.8,3.4,26
Caribou,"38,992","40,205","42,527",17,3.1,5.8,12
Cassia,"43,020","46,257","49,712",6,7.5,7.5,5
Clark,"44,314","45,791","41,622",22,3.3,-9.1,44
Clearwater,"34,875","35,977","36,805",39,3.2,2.3,36
Custer,"42,363","43,351","43,920",13,2.3,1.3,41
Elmore,"36,432","38,096","40,585",26,4.6,6.5,10
Franklin,"34,528","35,579","37,293",37,3.0,4.8,17
Fremont (includes Yellowstone National Park),"33,434","35,518","37,953",35,6.2,6.9,9
Gem,"36,040","38,237","39,382",31,6.1,3.0,28
Gooding,"52,000","54,853","61,715",2,5.5,12.5,2
Idaho,"33,773","35,134","35,946",42,4.0,2.3,35
Jefferson,"33,681","35,061","37,025",38,4.1,5.6,13
Jerome,"35,547","37,009","40,190",27,4.1,8.6,4
Kootenai,"43,304","45,409","46,645",10,4.9,2.7,31
Latah,"39,732","40,734","41,833",21,2.5,2.7,32
Lemhi,"40,863","42,557","44,199",12,4.1,3.9,22
Lewis,"45,333","48,227","49,643",7,6.4,2.9,30
Lincoln,"35,390","36,938","41,610",23,4.4,12.6,1
Madison,"24,969","27,628","28,780",44,10.6,4.2,19
Minidoka,"36,476","39,440","41,421",24,8.1,5.0,14
Nez Perce,"43,356","45,852","47,200",9,5.8,2.9,29
Oneida,"35,330","36,952","39,523",29,4.6,7.0,8
Owyhee,"33,616","36,731","39,409",30,9.3,7.3,7
Payette,"37,891","39,955","41,890",20,5.4,4.8,16
Power,"34,765","39,182","43,313",15,12.7,10.5,3
Shoshone,"34,976","36,275","36,793",40,3.7,1.4,40
Teton,"37,703","39,851","40,911",25,5.7,2.7,33
Twin Falls,"38,935","40,756","42,379",18,4.7,4.0,20
Valley,"48,498","50,491","51,088",4,4.1,1.2,42
Washington,"34,080","35,036","36,292",41,2.8,3.6,24
,,,,,,,
Illinois,"54,252","57,145","58,764",--,5.3,2.8,--
Adams,"44,801","46,880","47,898",28,4.6,2.2,52
Alexander,"33,847","35,446","37,723",93,4.7,6.4,2
Bond,"35,156","36,894","37,871",92,4.9,2.6,39
Boone,"45,118","47,006","47,682",30,4.2,1.4,72
Brown,"33,186","35,416","37,500",95,6.7,5.9,3
Bureau,"40,394","41,908","43,040",53,3.7,2.7,38
Calhoun,"41,022","42,062","43,368",51,2.5,3.1,26
Carroll,"42,884","44,532","45,342",42,3.8,1.8,61
Cass,"39,344","40,889","41,954",69,3.9,2.6,43
Champaign,"43,514","44,597","45,967",38,2.5,3.1,27
Christian,"39,866","42,121","42,576",61,5.7,1.1,81
Clark,"39,746","41,716","42,593",60,5.0,2.1,53
Clay,"38,951","40,781","40,308",81,4.7,-1.2,99
Clinton,"44,800","46,181","47,653",31,3.1,3.2,20
Coles,"39,363","40,679","41,751",72,3.3,2.6,42
Cook,"59,443","63,436","65,306",4,6.7,2.9,32
Crawford,"44,542","45,978","47,935",27,3.2,4.3,5
Cumberland,"71,334","78,504","83,954",1,10.1,6.9,1
DeKalb,"39,484","40,830","42,120",67,3.4,3.2,23
De Witt,"45,201","47,348","47,023",33,4.7,-0.7,94
Douglas,"48,556","51,189","51,859",14,5.4,1.3,75
DuPage,"69,386","72,823","75,137",3,5.0,3.2,22
Edgar,"40,432","41,809","42,665",59,3.4,2.0,55
Edwards,"39,303","40,708","40,991",75,3.6,0.7,88
Effingham,"48,170","49,747","51,296",15,3.3,3.1,25
Fayette,"34,099","35,676","36,310",100,4.6,1.8,62
Ford,"47,279","49,447","50,606",17,4.6,2.3,48
Franklin,"36,055","37,463","38,289",87,3.9,2.2,50
Fulton,"36,560","38,025","38,465",86,4.0,1.2,79
Gallatin,"39,669","40,722","42,451",63,2.7,4.2,6
Greene,"34,422","36,366","36,652",98,5.6,0.8,85
Grundy,"49,251","53,947","55,741",9,9.5,3.3,13
Hamilton,"41,112","42,976","43,609",49,4.5,1.5,71
Hancock,"42,119","44,687","45,052",44,6.1,0.8,84
Hardin,"37,639","36,745","37,438",96,-2.4,1.9,59
Henderson,"40,628","42,803","42,414",64,5.4,-0.9,98
Henry,"44,108","45,614","46,700",35,3.4,2.4,46
Iroquois,"41,534","44,104","44,994",45,6.2,2.0,57
Jackson,"35,718","36,869","37,967",90,3.2,3.0,31
Jasper,"42,127","42,590","41,811",71,1.1,-1.8,100
Jefferson,"38,209","39,471","40,516",79,3.3,2.6,40
Jersey,"39,733","42,068","42,836",56,5.9,1.8,60
Jo Daviess,"46,083","47,702","48,743",23,3.5,2.2,51
Johnson,"34,988","35,884","36,717",97,2.6,2.3,49
Kane,"49,038","50,542","52,163",13,3.1,3.2,19
Kankakee,"39,672","41,387","42,687",58,4.3,3.1,24
Kendall,"46,881","48,374","49,931",19,3.2,3.2,18
Knox,"37,957","39,748","40,363",80,4.7,1.5,68
Lake,"74,555","78,626","80,973",2,5.5,3.0,30
LaSalle,"43,016","44,739","46,013",37,4.0,2.8,36
Lawrence,"28,615","30,891","30,877",101,8.0,0.0,92
Lee,"40,024","41,700","42,776",57,4.2,2.6,44
Livingston,"42,671","45,315","45,090",43,6.2,-0.5,93
Logan,"35,692","37,375","37,660",94,4.7,0.8,86
McDonough,"37,337","38,551","38,550",85,3.3,0.0,91
McHenry,"53,242","54,882","56,711",8,3.1,3.3,12
McLean,"47,438","49,236","49,602",20,3.8,0.7,87
Macon,"45,767","48,206","48,764",22,5.3,1.2,78
Macoupin,"39,443","41,342","42,341",65,4.8,2.4,45
Madison,"44,715","46,698","48,222",26,4.4,3.3,16
Marion,"40,378","41,792","42,895",55,3.5,2.6,41
Marshall,"43,805","46,244","45,901",39,5.6,-0.7,97
Mason,"39,098","41,437","41,137",74,6.0,-0.7,95
Massac,"36,449","37,465","38,926",84,2.8,3.9,9
Menard,"44,522","46,249","47,012",34,3.9,1.6,66
Mercer,"45,237","46,992","47,701",29,3.9,1.5,69
Monroe,"55,502","57,267","59,125",7,3.2,3.2,17
Montgomery,"34,500","35,850","36,324",99,3.9,1.3,74
Morgan,"38,841","39,774","40,560",77,2.4,2.0,58
Moultrie,"57,522","63,623","64,409",5,10.6,1.2,77
Ogle,"44,838","46,674","47,369",32,4.1,1.5,70
Peoria,"48,357","50,216","51,089",16,3.8,1.7,65
Perry,"35,647","37,089","38,179",88,4.0,2.9,33
Piatt,"52,563","54,735","54,940",10,4.1,0.4,89
Pike,"39,357","41,528","41,957",68,5.5,1.0,82
Pope,"28,245","29,191","29,510",102,3.3,1.1,80
Pulaski,"36,528","36,580","37,936",91,0.1,3.7,10
Putnam,"55,918","58,994","61,363",6,5.5,4.0,8
Randolph,"35,291","36,344","37,988",89,3.0,4.5,4
Richland,"39,974","41,433","42,275",66,3.6,2.0,56
Rock Island,"43,508","44,438","45,711",41,2.1,2.9,35
St. Clair,"43,056","44,618","46,116",36,3.6,3.4,11
Saline,"38,373","39,597","40,891",76,3.2,3.3,15
Sangamon,"46,503","48,062","49,445",21,3.4,2.9,34
Schuyler,"40,564","42,801","44,586",47,5.5,4.2,7
Scott,"38,728","42,897","41,942",70,10.8,-2.2,101
Shelby,"37,903","40,483","40,517",78,6.8,0.1,90
Stark,"42,429","44,534","42,563",62,5.0,-4.4,102
Stephenson,"40,774","42,375","42,980",54,3.9,1.4,73
Tazewell,"45,060","47,765","48,515",25,6.0,1.6,67
Union,"40,600","42,341","43,491",50,4.3,2.7,37
Vermilion,"37,812","39,177","40,109",82,3.6,2.4,47
Wabash,"41,863","42,546","43,098",52,1.6,1.3,76
Warren,"39,135","41,574","41,270",73,6.2,-0.7,96
Washington,"45,100","47,898","48,740",24,6.2,1.8,64
Wayne,"36,495","38,435","39,592",83,5.3,3.0,29
White,"46,921","49,541","50,560",18,5.6,2.1,54
Whiteside,"42,517","43,581","44,916",46,2.5,3.1,28
Will,"50,653","52,232","53,895",11,3.1,3.2,21
Williamson,"42,802","44,412","45,878",40,3.8,3.3,14
Winnebago,"41,820","43,468","44,234",48,3.9,1.8,63
Woodford,"49,689","52,723","53,163",12,6.1,0.8,83
,,,,,,,
Indiana,"45,244","47,321","48,678",--,4.6,2.9,--
Adams,"37,971","39,753","40,584",69,4.7,2.1,73
Allen,"44,356","46,588","47,602",18,5.0,2.2,70
Bartholomew,"48,154","51,234","52,546",8,6.4,2.6,63
Benton,"39,140","41,444","42,135",55,5.9,1.7,78
Blackford,"36,182","37,721","38,813",81,4.3,2.9,52
Boone,"70,455","74,413","76,241",2,5.6,2.5,68
Brown,"45,062","47,146","48,862",14,4.6,3.6,21
Carroll,"40,835","43,129","43,432",45,5.6,0.7,91
Cass,"37,536","39,095","40,693",67,4.2,4.1,11
Clark,"42,173","43,712","45,270",32,3.6,3.6,22
Clay,"37,172","37,814","39,004",79,1.7,3.1,45
Clinton,"37,042","39,328","39,905",70,6.2,1.5,83
Crawford,"32,659","33,573","35,054",91,2.8,4.4,5
Daviess,"41,052","42,975","43,998",40,4.7,2.4,69
Dearborn,"45,327","47,818","49,949",13,5.5,4.5,4
Decatur,"41,076","42,721","44,168",37,4.0,3.4,28
DeKalb,"42,369","43,984","45,324",31,3.8,3.0,46
Delaware,"35,842","36,942","38,129",86,3.1,3.2,39
Dubois,"54,297","56,088","57,217",4,3.3,2.0,74
Elkhart,"45,343","46,354","46,975",22,2.2,1.3,87
Fayette,"38,967","40,663","41,993",56,4.4,3.3,35
Floyd,"53,184","55,378","57,145",5,4.1,3.2,42
Fountain,"38,670","40,413","41,412",62,4.5,2.5,67
Franklin,"44,911","46,182","47,664",17,2.8,3.2,40
Fulton,"40,394","42,377","43,775",43,4.9,3.3,34
Gibson,"42,680","44,802","46,049",26,5.0,2.8,58
Grant,"38,364","40,471","41,491",60,5.5,2.5,64
Greene,"38,050","39,433","41,747",58,3.6,5.9,1
Hamilton,"72,005","75,653","77,263",1,5.1,2.1,72
Hancock,"48,608","50,794","52,134",9,4.5,2.6,59
Harrison,"40,565","41,943","43,431",46,3.4,3.5,23
Hendricks,"47,779","49,584","50,979",10,3.8,2.8,56
Henry,"36,958","38,427","39,863",71,4.0,3.7,17
Howard,"40,069","42,140","42,911",49,5.2,1.8,77
Huntington,"40,050","41,914","42,824",52,4.7,2.2,71
Jackson,"40,501","42,933","44,192",36,6.0,2.9,51
Jasper,"42,058","44,051","45,777",28,4.7,3.9,14
Jay,"37,891","39,616","39,317",76,4.6,-0.8,92
Jefferson,"40,400","42,445","44,102",38,5.1,3.9,15
Jennings,"37,653","39,471","41,169",64,4.8,4.3,8
Johnson,"46,617","48,567","50,018",12,4.2,3.0,49
Knox,"42,930","44,728","45,882",27,4.2,2.6,62
Kosciusko,"45,539","47,541","48,425",16,4.4,1.9,76
Lagrange,"40,994","42,921","43,275",48,4.7,0.8,90
Lake,"43,094","45,230","46,736",23,5.0,3.3,32
LaPorte,"40,731","42,363","43,910",42,4.0,3.7,20
Lawrence,"39,102","40,830","42,538",53,4.4,4.2,10
Madison,"36,732","38,217","39,428",75,4.0,3.2,44
Marion,"50,211","52,815","54,405",7,5.2,3.0,48
Marshall,"40,261","41,704","42,196",54,3.6,1.2,88
Martin,"36,864","38,201","39,207",78,3.6,2.6,60
Miami,"33,947","35,101","35,970",89,3.4,2.5,66
Monroe,"40,403","42,170","43,660",44,4.4,3.5,24
Montgomery,"38,485","39,835","40,979",65,3.5,2.9,53
Morgan,"42,247","43,847","45,352",30,3.8,3.4,26
Newton,"37,712","40,147","41,454",61,6.5,3.3,37
Noble,"38,364","39,800","40,799",66,3.7,2.5,65
Ohio,"38,593","39,646","41,339",63,2.7,4.3,9
Orange,"37,069","37,908","38,432",83,2.3,1.4,84
Owen,"38,340","39,896","41,632",59,4.1,4.4,7
Parke,"34,989","35,995","37,570",87,2.9,4.4,6
Perry,"36,895","37,760","38,272",85,2.3,1.4,86
Pike,"39,116","40,218","41,827",57,2.8,4.0,12
Porter,"50,688","52,943","54,723",6,4.4,3.4,29
Posey,"46,396","48,144","50,407",11,3.8,4.7,3
Pulaski,"41,754","43,844","45,473",29,5.0,3.7,18
Putnam,"36,070","37,237","38,303",84,3.2,2.9,54
Randolph,"37,115","38,071","39,222",77,2.6,3.0,47
Ripley,"40,241","41,852","43,282",47,4.0,3.4,27
Rush,"44,108","45,696","47,445",19,3.6,3.8,16
St. Joseph,"45,904","47,801","48,535",15,4.1,1.5,82
Scott,"36,208","37,464","38,948",80,3.5,4.0,13
Shelby,"41,971","43,516","44,799",35,3.7,2.9,50
Spencer,"42,226","43,836","46,393",25,3.8,5.8,2
Starke,"33,878","34,989","35,648",90,3.3,1.9,75
Steuben,"41,269","43,443","44,854",34,5.3,3.2,38
Sullivan,"34,202","35,726","36,863",88,4.5,3.2,43
Switzerland,"29,165","31,144","32,174",92,6.8,3.3,33
Tippecanoe,"37,018","38,994","39,525",73,5.3,1.4,85
Tipton,"44,276","46,665","47,392",20,5.4,1.6,81
Union,"37,158","39,548","40,659",68,6.4,2.8,57
Vanderburgh,"44,038","45,548","47,233",21,3.4,3.7,19
Vermillion,"37,115","37,433","38,633",82,0.9,3.2,41
Vigo,"37,386","38,187","39,432",74,2.1,3.3,36
Wabash,"40,699","42,536","43,955",41,4.5,3.3,31
Warren,"41,501","44,494","45,202",33,7.2,1.6,79
Warrick,"54,359","56,561","58,539",3,4.1,3.5,25
Washington,"36,517","38,743","39,759",72,6.1,2.6,61
Wayne,"39,727","41,469","42,857",50,4.4,3.3,30
Wells,"40,514","42,197","42,857",50,4.2,1.6,80
White,"40,705","43,508","44,008",39,6.9,1.1,89
Whitley,"42,942","45,268","46,555",24,5.4,2.8,55
,,,,,,,
Iowa,"47,662","50,175","51,865",--,5.3,3.4,--
Adair,"49,169","52,817","55,251",29,7.4,4.6,47
Adams,"60,079","61,015","66,683",4,1.6,9.3,4
Allamakee,"44,833","46,819","49,945",58,4.4,6.7,19
Appanoose,"37,559","38,598","40,000",98,2.8,3.6,73
Audubon,"47,043","52,532","58,359",18,11.7,11.1,2
Benton,"51,600","53,354","55,520",27,3.4,4.1,61
Black Hawk,"42,447","45,355","46,326",75,6.9,2.1,92
Boone,"45,668","47,952","49,794",59,5.0,3.8,67
Bremer,"47,241","49,512","50,810",50,4.8,2.6,86
Buchanan,"45,814","48,853","50,823",49,6.6,4.0,63
Buena Vista,"43,212","47,516","48,394",66,10.0,1.8,94
Butler,"44,117","47,199","49,509",60,7.0,4.9,41
Calhoun,"46,453","50,342","54,273",34,8.4,7.8,10
Carroll,"51,910","55,934","58,482",16,7.8,4.6,50
Cass,"45,327","48,117","50,153",56,6.2,4.2,57
Cedar,"51,493","54,466","56,419",22,5.8,3.6,74
Cerro Gordo,"50,006","52,147","54,253",36,4.3,4.0,62
Cherokee,"56,364","61,975","65,727",5,10.0,6.1,28
Chickasaw,"54,777","59,156","62,483",6,8.0,5.6,32
Clarke,"39,565","42,122","42,031",94,6.5,-0.2,99
Clay,"47,630","51,957","54,270",35,9.1,4.5,52
Clayton,"48,002","49,371","51,982",44,2.9,5.3,37
Clinton,"42,508","44,486","46,466",73,4.7,4.5,53
Crawford,"39,857","42,192","45,817",78,5.9,8.6,6
Dallas,"64,283","67,453","68,246",2,4.9,1.2,98
Davis,"35,833","39,244","40,289",97,9.5,2.7,85
Decatur,"32,933","35,143","36,494",99,6.7,3.8,66
Delaware,"49,311","52,048","54,823",33,5.6,5.3,35
Des Moines,"48,314","49,534","50,725",51,2.5,2.4,88
Dickinson,"57,041","60,350","62,364",7,5.8,3.3,79
Dubuque,"46,620","50,120","51,525",47,7.5,2.8,84
Emmet,"41,433","45,979","48,926",62,11.0,6.4,24
Fayette,"42,111","45,061","46,621",71,7.0,3.5,77
Floyd,"45,244","47,557","50,203",55,5.1,5.6,33
Franklin,"46,218","49,651","53,241",39,7.4,7.2,15
Fremont,"44,168","44,615","50,441",53,1.0,13.1,1
Greene,"46,187","49,314","53,039",41,6.8,7.6,14
Grundy,"50,068","52,659","55,017",30,5.2,4.5,51
Guthrie,"49,597","53,231","54,843",32,7.3,3.0,81
Hamilton,"50,060","55,807","58,399",17,11.5,4.6,45
Hancock,"51,322","54,845","57,702",20,6.9,5.2,38
Hardin,"47,562","50,499","52,844",42,6.2,4.6,46
Harrison,"43,166","45,533","49,085",61,5.5,7.8,11
Henry,"41,249","43,652","44,932",82,5.8,2.9,83
Howard,"45,838","50,151","53,184",40,9.4,6.0,29
Humboldt,"47,352","50,020","52,742",43,5.6,5.4,34
Ida,"49,172","52,687","56,128",25,7.1,6.5,22
Iowa,"52,105","54,451","56,382",23,4.5,3.5,75
Jackson,"43,383","44,778","47,052",70,3.2,5.1,39
Jasper,"41,039","42,431","43,987",88,3.4,3.7,72
Jefferson,"38,622","40,548","41,936",95,5.0,3.4,78
Johnson,"50,702","54,102","54,917",31,6.7,1.5,95
Jones,"42,718","44,066","45,927",77,3.2,4.2,58
Keokuk,"43,211","45,664","48,084",67,5.7,5.3,36
Kossuth,"50,322","53,647","56,902",21,6.6,6.1,27
Lee,"39,797","41,784","43,430",90,5.0,3.9,65
Linn,"50,601","52,887","53,533",38,4.5,1.2,97
Louisa,"40,323","43,311","46,211",76,7.4,6.7,18
Lucas,"39,649","41,677","43,061",91,5.1,3.3,80
Lyon,"57,584","62,417","66,756",3,8.4,7.0,16
Madison,"47,285","49,362","50,460",52,4.4,2.2,91
Mahaska,"40,324","44,545","46,516",72,10.5,4.4,54
Marion,"45,910","48,738","50,862",48,6.2,4.4,55
Marshall,"40,863","42,803","44,589",86,4.7,4.2,59
Mills,"51,060","55,225","57,897",19,8.2,4.8,42
Mitchell,"57,032","64,263","69,700",1,12.7,8.5,7
Monona,"44,424","45,986","50,103",57,3.5,9.0,5
Monroe,"40,563","43,520","46,356",74,7.3,6.5,23
Montgomery,"39,143","42,062","44,918",83,7.5,6.8,17
Muscatine,"45,434","46,917","48,563",65,3.3,3.5,76
O'Brien,"53,663","57,630","61,246",11,7.4,6.3,25
Osceola,"51,606","56,668","61,277",10,9.8,8.1,8
Page,"40,038","41,713","44,442",87,4.2,6.5,20
Palo Alto,"50,990","55,523","58,989",14,8.9,6.2,26
Plymouth,"53,482","57,357","60,040",12,7.2,4.7,44
Pocahontas,"48,466","56,505","61,992",9,16.6,9.7,3
Polk,"51,348","52,770","53,859",37,2.8,2.1,93
Pottawattamie,"42,750","45,077","47,150",69,5.4,4.6,48
Poweshiek,"43,497","46,133","47,199",68,6.1,2.3,90
Ringgold,"43,519","46,627","50,405",54,7.1,8.1,9
Sac,"52,513","56,496","59,085",13,7.6,4.6,49
Scott,"52,227","54,167","55,758",26,3.7,2.9,82
Shelby,"49,916","52,869","56,323",24,5.9,6.5,21
Sioux,"52,058","56,477","58,585",15,8.5,3.7,70
Story,"40,208","42,652","43,643",89,6.1,2.3,89
Tama,"43,494","46,137","48,923",63,6.1,6.0,30
Taylor,"40,452","41,911","45,093",81,3.6,7.6,13
Union,"38,441","40,982","42,530",93,6.6,3.8,69
Van Buren,"38,721","41,272","42,908",92,6.6,4.0,64
Wapello,"37,548","38,754","40,344",96,3.2,4.1,60
Warren,"49,151","50,495","51,776",46,2.7,2.5,87
Washington,"54,532","59,590","62,145",8,9.3,4.3,56
Wayne,"39,741","42,989","44,614",85,8.2,3.8,68
Webster,"43,551","45,932","48,588",64,5.5,5.8,31
Winnebago,"41,146","43,730","45,793",79,6.3,4.7,43
Winneshiek,"46,617","49,399","51,904",45,6.0,5.1,40
Woodbury,"41,680","43,526","45,132",80,4.4,3.7,71
Worth,"40,726","41,474","44,675",84,1.8,7.7,12
Wright,"49,017","54,438","55,258",28,11.1,1.5,96
,,,,,,,
