Rank,Population Density ▼,County / Population
140,18.3/sq mi,"Sabine, TX / 10,551"
152,14.8/sq mi,"San Augustine, TX / 8,777"
83,42.7/sq mi,"San Jacinto, TX / 26,831"
45,92.5/sq mi,"San Patricio, TX / 65,509"
200,5.2/sq mi,"San Saba, TX / 5,901"
227,2.5/sq mi,"Schleicher, TX / 3,281"
136,18.9/sq mi,"Scurry, TX / 17,108"
214,3.7/sq mi,"Shackelford, TX / 3,359"
101,30.8/sq mi,"Shelby, TX / 25,698"
220,3.3/sq mi,"Sherman, TX / 3,060"
23,226.1/sq mi,"Smith, TX / 214,735"
77,44.7/sq mi,"Somervell, TX / 8,575"
70,50.5/sq mi,"Starr, TX / 62,040"
166,10.3/sq mi,"Stephens, TX / 9,485"
238,1.5/sq mi,"Sterling, TX / 1,360"
236,1.5/sq mi,"Stonewall, TX / 1,409"
223,2.7/sq mi,"Sutton, TX / 3,995"
179,8.6/sq mi,"Swisher, TX / 7,789"
3,"2,085.2/sq mi","Tarrant, TX / 1,881,469"
34,145.3/sq mi,"Taylor, TX / 133,560"
251,0.3/sq mi,"Terrell, TX / 809"
154,14.2/sq mi,"Terry, TX / 12,681"
233,1.7/sq mi,"Throckmorton, TX / 1,584"
51,76.4/sq mi,"Titus, TX / 32,540"
52,73.7/sq mi,"Tom Green, TX / 113,516"
5,"1,068.2/sq mi","Travis, TX / 1,092,810"
129,20.2/sq mi,"Trinity, TX / 14,452"
120,23.0/sq mi,"Tyler, TX / 21,552"
56,67.2/sq mi,"Upshur, TX / 39,851"
224,2.7/sq mi,"Upton, TX / 3,339"
142,17.2/sq mi,"Uvalde, TX / 26,763"
148,15.2/sq mi,"Val Verde, TX / 48,999"
62,61.2/sq mi,"Van Zandt, TX / 52,605"
43,100.1/sq mi,"Victoria, TX / 88,955"
47,85.9/sq mi,"Walker, TX / 68,882"
46,86.6/sq mi,"Waller, TX / 44,825"
158,13.2/sq mi,"Ward, TX / 11,011"
66,54.7/sq mi,"Washington, TX / 34,039"
50,76.9/sq mi,"Webb, TX / 259,471"
90,37.7/sq mi,"Wharton, TX / 41,219"
194,6.1/sq mi,"Wheeler, TX / 5,587"
27,208.2/sq mi,"Wichita, TX / 131,802"
156,13.6/sq mi,"Wilbarger, TX / 13,265"
106,28.1/sq mi,"Willacy, TX / 22,056"
14,403.0/sq mi,"Williamson, TX / 457,218"
65,55.2/sq mi,"Wilson, TX / 44,609"
178,8.8/sq mi,"Winkler, TX / 7,404"
58,65.5/sq mi,"Wise, TX / 60,413"
63,61.0/sq mi,"Wood, TX / 42,431"
168,10.1/sq mi,"Yoakum, TX / 8,054"
134,19.7/sq mi,"Young, TX / 18,374"
157,13.5/sq mi,"Zapata, TX / 14,231"
175,9.2/sq mi,"Zavala, TX / 12,013"
